City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,75.33,broken clouds,22.2855,114.1577,Mini Hotel Central
3,Cidreira,BR,71.15,broken clouds,-30.1811,-50.2056,Hotel Castelo
5,Puerto Ayora,EC,72.79,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Rikitea,PF,74.77,light rain,-23.1203,-134.9692,People ThankYou
22,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
23,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
31,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
32,Treinta Y Tres,UY,74.84,overcast clouds,-33.2333,-54.3833,Jardines Apart-Hotel
33,Darnah,LY,70.45,few clouds,32.767,22.6367,فندق الفردوس
35,Kapaa,US,75.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Arraial Do Cabo,BR,75.06,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
44,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
52,Arrifes,PT,70.05,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
53,Sibolga,ID,77.05,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
62,Chuy,UY,71.22,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
65,Atuona,PF,77.59,few clouds,-9.8,-139.0333,Villa Enata
69,Axim,GH,79.74,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
73,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
88,Tibati,CM,74.35,overcast clouds,6.4667,12.6333,Tibati Hotel
89,Batticaloa,LK,79.21,broken clouds,7.7102,81.6924,Grand Star Guest House
90,Ribeira Grande,PT,71.33,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
101,Castro,BR,71.35,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
109,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
112,Kabompo,ZM,79.45,overcast clouds,-13.5927,24.2008,Big Tree
117,Kapit,MY,75.13,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
122,Soyo,AO,78.01,overcast clouds,-6.1349,12.3689,Hotel Mpampa
123,Isangel,VU,74.19,clear sky,-19.55,169.2667,Tanna Lodge
125,Bowen,AU,71.82,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
126,Hurricane,US,71.6,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
130,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
132,Roebourne,AU,72.68,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
134,Charters Towers,AU,71.62,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
136,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
171,Odweyne,SO,72.61,few clouds,9.4092,45.064,Eng Hiirey House
172,Vangaindrano,MG,70.32,broken clouds,-23.35,47.6,Hotel Fanilo
175,Bengkulu,ID,76.12,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
178,Ponta Do Sol,PT,78.01,broken clouds,32.6667,-17.1,Hotel do Campo
180,Basoko,CD,74.89,overcast clouds,1.2391,23.616,Jackyna Hotel
181,Faanui,PF,78.35,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Stephenville,US,73.76,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
199,Innisfail,AU,72.39,scattered clouds,-17.5333,146.0333,Moondarra Motel
213,Bam,IR,70.66,scattered clouds,29.106,58.357,Bam Tourist Hotel
216,Yokadouma,CM,71.22,moderate rain,3.5167,15.05,Hôtel De Ville De Yokadouma
217,Alofi,NU,73.29,light rain,-19.0595,-169.9187,Taloa Heights
222,Buala,SB,79.72,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
224,Rach Gia,VN,77.14,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
234,Bandarbeyla,SO,79.3,light rain,9.4942,50.8122,JABIR HOTEL
238,Jambi,ID,74.37,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
245,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
257,Popondetta,PG,72.7,few clouds,-8.7537,148.2534,Timos Transit House
259,Cape Canaveral,US,75.97,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
260,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
265,Ranong,TH,77.65,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
267,Guerrero Negro,MX,74.16,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
268,Mehran,IR,78.28,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
270,Ishigaki,JP,76.03,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
274,Meulaboh,ID,75.88,overcast clouds,4.1363,96.1285,Kost Pria
284,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
291,Nakonde,ZM,73.42,overcast clouds,-9.3421,32.745,Masahani Inn Hotel
304,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
319,Chake Chake,TZ,75.87,broken clouds,-5.2459,39.7666,Hotel Archipelago
320,Rocha,UY,73.71,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
321,Cap Malheureux,MU,73.89,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
323,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
337,Malindi,KE,78.15,broken clouds,-3.2175,40.1191,African House Resort
339,Lagoa,PT,70.16,overcast clouds,39.05,-27.9833,Casa Das Faias
341,Gat,IL,71.73,scattered clouds,31.61,34.7642,OlusHome
347,Cajuru,BR,79.74,broken clouds,-21.2753,-47.3042,Hotel Tropical Cajuru
351,Honiara,SB,77.52,broken clouds,-9.4333,159.95,Heritage Park Hotel
352,Saint-Leu,RE,72.46,scattered clouds,-21.15,55.2833,La Caz Oceane
356,Kupang,ID,79.83,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
357,Sompeta,IN,78.1,broken clouds,18.9333,84.6,Netaji's Home
364,Bambanglipuro,ID,77.72,overcast clouds,-7.95,110.2833,Puri Brata
366,Ilebo,CD,74.82,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
367,Araucaria,BR,72.91,overcast clouds,-25.5931,-49.4103,Hotel San Gabriel
375,Tres Passos,BR,72.77,overcast clouds,-27.4556,-53.9319,Hotel Imperial
378,Vao,NC,70.83,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
379,Auki,SB,77.14,broken clouds,-8.7676,160.7034,Auki Motel
398,Montepuez,MZ,78.22,scattered clouds,-13.1256,38.9997,PembaAparthotel
417,Bubaque,GW,78.69,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
422,Vanimo,PG,77.38,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
424,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
426,Kutum,SD,78.96,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
430,Turayf,SA,71.85,broken clouds,31.6725,38.6637,Turaif
436,Artesia,US,78.62,haze,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
460,Antsohihy,MG,77.97,few clouds,-14.8796,47.9875,Hotel de Ville
463,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
466,Matara,LK,76.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
467,Palauig,PH,79.63,broken clouds,15.435,119.9045,Alperi Botique Resort
468,Mount Isa,AU,78.06,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
474,Comonfort,MX,74.21,few clouds,20.7167,-100.7667,El Kiosco Verde
476,Awbari,LY,74.95,clear sky,26.5921,12.7805,فندق أوباري
479,Cananeia,BR,70.7,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
