City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,75.33,80,78,5.01,broken clouds
1,Busselton,AU,-33.65,115.3333,49.8,90,35,6.87,scattered clouds
2,Atikokan,CA,48.7555,-91.6216,49.62,61,100,9.08,overcast clouds
3,Cidreira,BR,-30.1811,-50.2056,71.15,78,72,22.97,broken clouds
4,Albany,US,42.6001,-73.9662,57.94,93,99,7.99,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,72.79,79,71,8.86,broken clouds
6,Fairbanks,US,64.8378,-147.7164,27.1,89,20,9.22,few clouds
7,Ibipeba,BR,-11.6408,-42.0111,88.25,29,17,7.52,few clouds
8,Ilulissat,GL,69.2167,-51.1,30.94,88,100,5.84,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,56.89,34,20,3.29,few clouds
10,Saint-Raymond,CA,45.467,-73.6095,53.26,73,90,12.66,overcast clouds
11,Novobelokatay,RU,55.7062,58.9549,38.41,99,100,14.56,overcast clouds
12,Kodiak,US,57.79,-152.4072,45.91,93,90,26.46,moderate rain
13,Vranjska Banja,RS,42.555,21.9922,48.49,65,0,4.79,clear sky
14,Mandalgovi,MN,45.7625,106.2708,29.39,76,36,7.02,scattered clouds
15,Kamenka,RU,51.3223,42.7678,43.05,71,5,7.23,clear sky
16,Broome,US,42.2506,-75.833,56.32,81,90,1.99,overcast clouds
17,Severo-Kurilsk,RU,50.6789,156.125,39.42,81,6,11.61,clear sky
18,Rikitea,PF,-23.1203,-134.9692,74.77,85,86,21.7,light rain
19,Mataura,NZ,-46.1927,168.8643,47.46,69,32,3.85,scattered clouds
20,Clyde River,CA,70.4692,-68.5914,30.43,100,90,17.27,snow
21,Dikson,RU,73.5069,80.5464,7.11,92,100,17.05,overcast clouds
22,Riyadh,SA,24.6877,46.7219,78.94,34,89,5.19,overcast clouds
23,San Cristobal,VE,7.7669,-72.225,78.98,87,98,3.58,overcast clouds
24,College,US,64.8569,-147.8028,29.66,89,20,9.22,few clouds
25,Lompoc,US,34.6391,-120.4579,60.93,89,90,5.75,overcast clouds
26,Raudeberg,NO,61.9875,5.1352,50.86,67,85,5.99,overcast clouds
