City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Inverell,AU,2021-10-27 02:52:39,-29.7833,151.1167,86.67,40,0,4.0
1,Bluff,NZ,2021-10-27 02:52:40,-46.6,168.3333,58.37,72,58,7.05
2,Barrow,US,2021-10-27 02:52:40,71.2906,-156.7887,8.62,78,90,5.75
3,Clyde River,CA,2021-10-27 02:52:40,70.4692,-68.5914,23.56,82,100,4.45
4,Sansepolcro,IT,2021-10-27 02:52:41,43.5747,12.143,53.74,94,80,5.79
5,Zelenoborskiy,RU,2021-10-27 02:52:42,66.845,32.3622,29.55,91,100,13.69
6,Sibolga,ID,2021-10-27 02:52:42,1.7427,98.7792,81.61,78,61,3.56
7,Jamestown,US,2021-10-27 02:50:02,42.097,-79.2353,45.99,96,90,8.01
8,Rio Grande,BR,2021-10-27 02:52:43,-32.035,-52.0986,67.51,81,0,4.65
9,Bubaque,GW,2021-10-27 02:52:43,11.2833,-15.8333,81.97,74,95,8.46
10,Cape Town,ZA,2021-10-27 02:50:57,-33.9258,18.4232,65.26,65,0,10.36
11,Torbay,CA,2021-10-27 02:52:43,47.6666,-52.7314,39.38,84,90,5.75
12,Hobart,AU,2021-10-27 02:52:44,-42.8794,147.3294,73.02,50,20,3.0
13,Kahului,US,2021-10-27 02:52:44,20.8947,-156.47,82.42,74,40,17.27
14,Atuona,PF,2021-10-27 02:52:45,-9.8,-139.0333,77.7,68,9,13.0
15,Yellowknife,CA,2021-10-27 02:51:53,62.456,-114.3525,39.42,100,90,4.61
16,Hornepayne,CA,2021-10-27 02:52:45,49.2138,-84.7705,33.35,91,79,4.63
17,Rikitea,PF,2021-10-27 02:52:46,-23.1203,-134.9692,74.43,83,100,10.85
18,Cockburn Town,TC,2021-10-27 02:52:46,21.4612,-71.1419,81.88,76,81,4.7
19,Mataura,NZ,2021-10-27 02:52:46,-46.1927,168.8643,63.37,71,93,4.09
20,Mocuba,MZ,2021-10-27 02:52:47,-16.8392,36.9856,74.26,86,100,4.45
21,San Cristobal,VE,2021-10-27 02:52:47,7.7669,-72.225,73.58,98,100,2.77
22,Dikson,RU,2021-10-27 02:52:47,73.5069,80.5464,12.63,90,100,8.79
23,Castro,BR,2021-10-27 02:52:48,-24.7911,-50.0119,56.53,93,97,5.48
24,Kaeo,NZ,2021-10-27 02:52:48,-35.1,173.7833,73.33,75,95,6.89
25,Kayerkan,RU,2021-10-27 02:52:48,69.3497,87.7602,10.0,94,100,8.93
26,New Norfolk,AU,2021-10-27 02:52:49,-42.7826,147.0587,72.66,32,0,3.33
27,Vaini,TO,2021-10-27 02:52:49,-21.2,-175.2,78.96,78,20,16.11
28,Ndele,CF,2021-10-27 02:52:50,8.4109,20.6473,69.73,89,96,1.83
29,Punta Arenas,CL,2021-10-27 02:49:26,-53.15,-70.9167,44.71,70,40,18.41
30,Ponta Do Sol,PT,2021-10-27 02:52:50,32.6667,-17.1,69.01,55,3,3.56
31,Fortuna,US,2021-10-27 02:52:51,40.5982,-124.1573,57.65,74,90,4.0
32,Avera,US,2021-10-27 02:52:51,33.194,-82.5271,59.72,66,2,6.58
33,Bredasdorp,ZA,2021-10-27 02:52:51,-34.5322,20.0403,64.27,82,100,19.57
34,Nanortalik,GL,2021-10-27 02:52:51,60.1432,-45.2371,35.35,64,59,3.38
35,Terrace Bay,CA,2021-10-27 02:52:52,48.7834,-87.1,35.22,85,23,11.59
36,Nome,US,2021-10-27 02:52:52,64.5011,-165.4064,24.87,69,90,4.61
37,Mahebourg,MU,2021-10-27 02:52:53,-20.4081,57.7,75.25,61,68,13.96
38,Santo Domingo De Guzman,MX,2021-10-27 02:52:53,19.5883,-99.7747,63.61,96,60,2.82
39,Bria,CF,2021-10-27 02:52:53,6.5423,21.9863,69.94,95,100,2.71
40,Rucar,RO,2021-10-27 02:52:54,45.4,25.1667,33.39,51,0,3.56
41,Nara,JP,2021-10-27 02:48:46,34.6851,135.8049,71.49,40,60,3.96
42,Ruwi,OM,2021-10-27 02:52:54,23.5996,58.5507,81.19,66,0,7.2
43,Sao Joao Da Barra,BR,2021-10-27 02:52:55,-21.6403,-41.0511,72.95,93,100,6.2
44,Abilene,US,2021-10-27 02:52:55,32.4487,-99.7331,81.09,69,1,4.0
45,Morondava,MG,2021-10-27 02:52:55,-20.2833,44.2833,74.12,81,0,7.23
46,Hermanus,ZA,2021-10-27 02:52:56,-34.4187,19.2345,64.8,88,76,15.73
47,Druskininkai,LT,2021-10-27 02:52:57,54.0167,23.9667,47.3,81,87,9.95
48,Labuhan,ID,2021-10-27 02:52:57,-6.8844,112.2051,87.85,59,93,4.7
49,Qaanaaq,GL,2021-10-27 02:52:58,77.484,-69.3632,20.37,94,100,13.58
50,Severo-Kurilsk,RU,2021-10-27 02:52:58,50.6789,156.125,46.35,86,100,6.93
51,Broken Hill,AU,2021-10-27 02:52:59,-31.95,141.4333,87.51,8,32,16.11
52,Katsuura,JP,2021-10-27 02:52:59,35.1333,140.3,65.19,81,100,12.17
53,Saint-Pierre,RE,2021-10-27 02:52:59,-21.3393,55.4781,73.04,59,0,5.75
54,Cherskiy,RU,2021-10-27 02:53:00,68.75,161.3,-14.35,98,32,3.85
55,Krasnokamensk,RU,2021-10-27 02:53:00,50.0979,118.0369,43.48,49,5,9.33
56,Digboi,IN,2021-10-27 02:53:00,27.3833,95.6333,76.15,68,0,2.13
57,Albany,US,2021-10-27 02:50:43,42.6001,-73.9662,53.62,94,100,1.01
58,Acapulco,MX,2021-10-27 02:48:43,16.8634,-99.8901,82.22,83,20,5.75
59,Guerrero Negro,MX,2021-10-27 02:53:02,27.9769,-114.0611,66.2,71,0,14.16
60,Nouakchott,MR,2021-10-27 02:49:41,18.0858,-15.9785,78.73,44,81,19.84
61,Chokurdakh,RU,2021-10-27 02:53:02,70.6333,147.9167,-7.22,97,99,4.09
62,Port Lincoln,AU,2021-10-27 02:53:03,-34.7333,135.8667,71.04,58,29,15.48
63,Esperance,AU,2021-10-27 02:50:05,-33.8667,121.9,55.24,53,100,7.7
64,Ust-Kulom,RU,2021-10-27 02:53:04,61.6864,53.6902,26.24,94,100,6.29
65,Aklavik,CA,2021-10-27 02:53:05,68.2191,-135.0107,25.63,96,100,5.06
